name,address,store_number,lat,lng,status
Avondale,"10000 W McDowell Rd, Avondale, AZ 85392",#691,33.467731,-112.274879,active
Chandler,"595 S Galleria Way, Chandler, AZ 85226",#736,33.293503,-111.898834,active
Gilbert,"1415 N Arizona Ave, Gilbert, AZ 85233",#481,33.376247,-111.840767,active
SE Gilbert,"2887 S Market St, Gilbert, AZ 85296",#644,33.296345,-111.745338,active
Glendale,"17550 N 79th Ave, Glendale, AZ 85308",#674,33.643333,-112.233482,active
Mesa,"1444 S Sossaman Rd, Mesa, AZ 85206",#1028,33.388874,-111.669395,active
Phoenix Business Center,"3801 N 33rd Ave, Phoenix, AZ 85017",#827,33.491615,-112.128105,active
N. Phoenix,"19001 N 27th Ave, Phoenix, AZ 85027",#490,33.659382,-112.115448,active
Cave Creek,"2450 E Beardsley Rd, Phoenix, AZ 85050",#738,33.670914,-112.028252,active
Thomas Rd.,"4502 E Oak St, Phoenix, AZ 85008",#465,33.473553,-111.984299,active
Paradise Valley,"4570 E Cactus Rd, Phoenix, AZ 85032",#1058,33.601429,-111.983719,active
Prescott,"3911 US-69, Prescott, AZ 86301",#466,34.547562,-112.396687,active
Scottsdale,"15255 N Hayden Rd, Scottsdale, AZ 85260",#427,33.622967,-111.900719,active
Surprise,"16385 W Waddell Rd, Surprise, AZ 85388",#1375,33.607903,-112.410896,active
Tempe,"1445 W Elliot Rd, Tempe, AZ 85284",#436,33.346909,-111.961937,active
SW Tucson,"1650 E Tucson Marketplace Blvd, Tucson, AZ 85713",#1079,32.18005,-110.946877,active
NW Tucson,"3901 W Costco Dr, Tucson, AZ 85741",#431,32.326134,-111.049469,active
Tucson,"6255 E Grant Rd, Tucson, AZ 85712",#407,32.251396,-110.859734,active
Buckeye,"1111 N Verrado Way, Buckeye, AZ 85396",#1653,33.459236,-112.503159,active
Queen Creek,"20260 S Ellsworth Rd, Queen Creek, AZ 85142",#1620,33.264751,-111.63681,active
Albuquerque,"1420 N RENAISSANCE BLVD NE, Albuquerque, NM 87107",#116,35.136341,-106.613564,inactive
NW Albuquerque,"9955 COORS BYPASS NW, Albuquerque, NM 87114",#1016,35.195469,-106.661392,inactive
SE Albuquerque,"500 EUBANK BLVD SE, Albuquerque, NM 87123",#667,35.068436,-106.529762,inactive
Arvada,"5195 WADSWORTH BLVD, ARVADA, CO 80002",#676,39.789597,-105.082802,inactive
Aurora,"1471 S HAVANA ST, AURORA, CO 80012",#439,39.690872,-104.86647,inactive
Denver Business Center,"400 S ZUNI ST, DENVER, CO 80223",#650,39.708435,-105.014053,active
Douglas County,"8686 PARK MEADOWS CENTER DR, LITTLETON, CO 80124",#468,39.557774,-104.877342,inactive
E Colorado Springs,"5885 BARNES RD, COLORADO SPRINGS, CO 80922",#1014,38.894199,-104.716606,inactive
Gypsum,"170 COOLEY MESA RD, GYPSUM, CO 81637",#637,39.6324,-106.92935,inactive
Longmont,"205 EAST KEN PRATT BLVD, LONGMONT, CO 80501",#1628,40.150799,-105.086861,inactive
NE Denver,"4741 N AIRPORT WAY, DENVER, CO 80239",#1652,39.780827,-104.796356,inactive
Parker,"18414 COTTONWOOD DR, PARKER, CO 80138",#1022,39.556206,-104.775665,inactive
SW Denver,"7900 W QUINCY AVE, LITTLETON, CO 80123",#443,39.636833,-105.086555,inactive
Sheridan,"4000 RIVER POINT PKWY, SHERIDAN, CO 80110",#1027,39.644447,-105.006111,inactive
Superior,"600 MARSHALL RD, SUPERIOR, CO 80027",#480,39.959503,-105.174416,inactive
Thornton,"16375 N. WASHINGTON ST, THORNTON, CO 80023",#629,39.991611,-104.983582,inactive
Timnath,"4705 WEITZEL ST, TIMNATH, CO 80547",#1178,40.520733,-104.989487,inactive
W Colorado Springs,"5050 N NEVADA AVE, COLORADO SPRINGS, CO 80918",#1030,38.905144,-104.822197,inactive
Westminster CO,"6400 W 92ND AVE, WESTMINSTER, CO 80031",#440,39.861774,-105.066673,inactive
Arlington,"600 W ARBROOK BLVD, ARLINGTON, TX 76014",#668,32.68362,-97.112762,inactive
Austin,"10401 RESEARCH BLVD, AUSTIN, TX 78759",#681,30.396885,-97.74543,inactive
Bunker Hill,"1150 BUNKER HILL RD, HOUSTON, TX 77055",#680,29.787453,-95.5299,inactive
Cedar Park TX,"4601 183A TOLL RD, CEDAR PARK, TX 78613",#1152,30.527655,-97.819656,inactive
College Station,"4321 STATE HWY 6 SOUTH, COLLEGE STATION, TX 77845",#1614,30.566994,-96.263046,inactive
Cypress TX,"26960 NW FREEWAY, CYPRESS, TX 77433",#1208,29.94523,-95.71959,inactive
Dallas,"8055 CHURCHILL WAY, DALLAS, TX 75251",#1266,32.919342,-96.767822,inactive
Dallas Business Center,"8282 PARK LN, DALLAS, TX 75231",#655,32.868576,-96.764374,inactive
Duncanville,"250 W HIGHWAY 67, DUNCANVILLE, TX 75137",#636,32.620945,-96.90992,inactive
E Plano,"3800 N CENTRAL EXPY, PLANO, TX 75074",#664,33.044849,-96.698959,inactive
El Paso,"6101 GATEWAY BLVD W SUITE #1, EL PASO, TX 79925",#768,31.783054,-106.411537,inactive
Fort Worth,"5300 OVERTON RIDGE BLVD, FORT WORTH, TX 76132",#489,32.67746,-97.408821,inactive
Frisco,"11220 DALLAS PKWY, FRISCO, TX 75033",#1097,33.171665,-96.83699,inactive
Galleria,"3836 RICHMOND AVE, HOUSTON, TX 77027",#1018,29.73415,-95.439484,inactive
Georgetown,"2201A N IH 35, GEORGETOWN, TX 78628",#1385,30.677155,-97.664467,inactive
Humble,"21802 TOWNSEN BLVD W., HUMBLE, TX 77338",#1228,30.022245,-95.266983,inactive
Kyle,"19086 IH 35, KYLE, TX 78640",#1629,30.030899,-97.851349,inactive
Lewisville,"851 STATE HIGHWAY 121 BYP, LEWISVILLE, TX 75067",#683,32.998505,-96.962105,inactive
Lubbock TX,"6020 34TH ST, LUBBOCK, TX 79407",#1163,33.564087,-101.947723,inactive
McKinney,"3650 W UNIVERSITY DR, MCKINNEY, TX 75071",#1284,33.21933,-96.658966,inactive
Midland TX,"1901 KIRKLAND DRIVE, MIDLAND, TX 79707",#1756,32.05109,-102.14922,inactive
N Fort Worth,"8900 TEHAMA RIDGE PKWY, FORT WORTH, TX 76177",#1173,32.900799,-97.320251,inactive
NW San Antonio,"5611 UTSA BLVD, SAN ANTONIO, TX 78249",#689,29.576014,-98.597748,inactive
Pearland,"3500 BUSINESS CENTER DRIVE, PEARLAND, TX 77584",#1221,29.544407,-95.390923,inactive
Pflugerville,"1901 KELLY LN, PFLUGERVILLE, TX 78660",#1322,30.469423,-97.591225,inactive
Pharr,"1501 W KELLY AVE, PHARR, TX 78577",#1108,26.192656,-98.201965,inactive
Prosper,"5620 W UNIVERSITY DRIVE, PROSPER, TX 75078",#1694,33.22592,-96.77625,inactive
Richmond TX,"11125 W GRAND PKWY S, RICHMOND, TX 77406",#1697,29.6882,-95.70299,inactive
Rockwall,"1225 STATE HIGHWAY 276, ROCKWALL, TX 75032",#1049,32.908638,-96.445313,inactive
S Austin,"4301 W WILLIAM CANNON DR BLDG A STE, AUSTIN, TX 78749",#641,30.218777,-97.843048,inactive
Selma,"15330 IH-35 NORTH, SELMA, TX 78154",#1006,29.575922,-98.317986,inactive
Sonterra Park,"1201 N LOOP 1604 E, SAN ANTONIO, TX 78232",#693,29.612164,-98.475449,inactive
Southlake,"2601 E STATE HIGHWAY 114, SOUTHLAKE, TX 76092",#669,32.941566,-97.111473,inactive
Stafford Business Center,"12717 NETWORK DR, STAFFORD, TX 77477",#1487,29.637648,-95.576431,inactive
