name,address,store_number,lat,lng,status
Avondale,"1459 N Dysart Rd, Avondale, AZ 85323",#4830,33.451759,-112.338913,active
Bullhead City,"600 Highway 95 Ste 200, Bullhead City, AZ 86429",#4915,35.16555,-114.562782,inactive
Chandler,"700 N 54th St, Chandler, AZ 85226",#6213,33.315018,-111.970871,active
Flagstaff,"1851 E Butler Ave, Flagstaff, AZ 86001",#6604,35.190086,-111.628227,active
Gilbert,"1225 N Gilbert Rd, Gilbert, AZ 85234",#6605,33.372555,-111.78759,active
Gilbert (E),"2621 S Market St, Gilbert, AZ 85295",#4829,33.302776,-111.741425,active
Glendale,"18501 N 83rd Ave, Glendale, AZ 85308",#4732,33.650692,-112.234138,active
Phoenix - Bell,"1525 W Bell Rd, Phoenix, AZ 85023",#6608,33.638248,-112.092674,active
Phoenix - Mcdowell,"8340 W McDowell Rd, Phoenix, AZ 85037",#6606,33.467018,-112.239532,active
Surprise (SW),"16573 W Bell Rd, Surprise, AZ 85374",#4955,33.635845,-112.415352,active
Tempe,"2080 E Rio Salado Pkwy, Tempe, AZ 85288",#4956,33.431644,-111.899925,active
Tucson,"4701 N Stone Ave, Tucson, AZ 85704",#6692,32.292076,-110.971382,active
Yuma,"1462 S Pacific Ave, Yuma, AZ 85365",#6205,32.701572,-114.600082,active
Farmington,"4500 E MAIN ST, FARMINGTON NM 87402",6347,36.764732,-108.153809,active
Las Cruces,"2711 N TELSHOR BLVD, LAS CRUCES NM 88011",4784,32.347012,-106.766678,active
LV Serene,"1910 E SERENE AVE, LAS VEGAS NV 89123",6261,36.023647,-115.126595,active
LV Tropical,"8080 W TROPICAL PKWY, LAS VEGAS NV 89149",6257,36.273117,-115.270233,active
LV Pecos,"5101 S PECOS RD, LAS VEGAS NV 89120",8177,36.098644,-115.105522,active
El Paso Gateway,"9498 GATEWAY NORTH, EL PASO TX 79924",6246,31.881212,-106.439682,active
El Paso Mesa,"7970 N MESA ST, EL PASO TX 79932",8153,31.843357,-106.574974,active
El Paso Pellicano,"11360 PELLICANO DR, EL PASO TX 79936",8280,31.745077,-106.315994,active

